compound_id,formula,zh_name,en_name,stable_id,identifier,category,standard_state,status,source_mapping,gameplay_role,tests,notes
compound.ammonia,NH3,氨,Ammonia,361,OMNI_PT_AMON,inorganic_gas,gas,implemented,OMNI_PT_AMON,fertilizer feedstock and acid neutralisation,tools/tests/test_chemistry_audit.py,game-scale synthesis
compound.ethanol,C2H5OH,乙醇,Ethanol,362,OMNI_PT_ETHL,organic_liquid,liquid,implemented,OMNI_PT_ETHL,flammable solvent and fermentation product,tools/tests/test_chemistry_audit.py,not an unlock reward
compound.acetylene,C2H2,乙炔,Acetylene,365,OMNI_PT_ACTY,organic_gas,gas,implemented,OMNI_PT_ACTY,high-energy fuel and benzene feedstock,tools/tests/test_chemistry_audit.py;tools/tests/test_organic_audit.py,bounded combustion and cyclisation
compound.hydrogen_peroxide,H2O2,过氧化氢,Hydrogen peroxide,368,OMNI_PT_PERO,inorganic_liquid,liquid,implemented,OMNI_PT_PERO,oxidizer disinfectant and decomposition source,tools/tests/test_chemistry_audit.py,game-scale concentration
compound.ammonia_water,NH3(aq),氨水,Ammonia water,480,OMNI_PT_AMWA,base,liquid,implemented,OMNI_PT_AMWA,volatile base ammonium salt feedstock and reversible ammonia dissolution,tools/tests/test_chemistry_audit.py;tools/runtime/chemistry_regression.lua,game-scale aqueous solution
compound.water,H2O,水,Water,2,DEFAULT_PT_WATR,inorganic_liquid,liquid,reuse_official,DEFAULT_PT_WATR,solvent phase change and reaction medium,official element tests,generic TPT water representation
compound.carbon_dioxide,CO2,二氧化碳,Carbon dioxide,80,DEFAULT_PT_CO2,oxide,gas,reuse_official,DEFAULT_PT_CO2,combustion product and photosynthesis input,official element tests,official behavior retained
compound.hydrochloric_acid,HCl(aq),盐酸,Hydrochloric acid,462,OMNI_PT_HCLA,acid,liquid,implemented,OMNI_PT_HCLA,chloride chemistry neutralisation and metal corrosion,tools/tests/test_chemistry_audit.py;tools/runtime/chemistry_regression.lua,game-scale aqueous acid
compound.sulfuric_acid,H2SO4,硫酸,Sulfuric acid,463,OMNI_PT_SULA,acid,liquid,implemented,OMNI_PT_SULA,strong acid copper sulfate and sulfur oxide cycle,tools/tests/test_chemistry_audit.py;tools/runtime/chemistry_regression.lua,game-scale concentration
compound.nitric_acid,HNO3,硝酸,Nitric acid,464,OMNI_PT_NITA,acid,liquid,implemented,OMNI_PT_NITA,oxidizing acid nitrate and nitrogen oxide chemistry,tools/tests/test_chemistry_audit.py;tools/runtime/chemistry_regression.lua,game-scale concentration
compound.phosphoric_acid,H3PO4,磷酸,Phosphoric acid,465,OMNI_PT_PHOA,acid,liquid,implemented,OMNI_PT_PHOA,phosphate fertilizer and mild neutralisation chemistry,tools/tests/test_chemistry_audit.py;tools/runtime/chemistry_regression.lua,game-scale concentration
compound.hydrofluoric_acid,HF(aq),氢氟酸,Hydrofluoric acid,466,OMNI_PT_HYFA,acid,liquid,implemented,OMNI_PT_HYFA,glass quartz corrosion and acid neutralisation,tools/tests/test_chemistry_audit.py;tools/runtime/chemistry_regression.lua,uses bounded generic corrosion products
compound.carbonic_acid,H2CO3,碳酸,Carbonic acid,478,OMNI_PT_CARA,acid,liquid,implemented,OMNI_PT_CARA,weak acid carbon dioxide water equilibrium and carbonate cycle,tools/tests/test_chemistry_audit.py;tools/runtime/chemistry_regression.lua,bounded electrified catalytic hydration
compound.sodium_hydroxide,NaOH,氢氧化钠,Sodium hydroxide,467,OMNI_PT_NAOH,base,solid,implemented,OMNI_PT_NAOH,strong base carbonation neutralisation and aluminium attack,tools/tests/test_chemistry_audit.py;tools/runtime/chemistry_regression.lua,game-scale solid powder representation
