identifier,display_code,english_name,chinese_name,source_mod,source_id,stable_id,menu_category,element_state,default_enabled,duplicate_of,save_compatibility,implementation_status,test_status,is_duplicate,meson_name,source_file,source_commit,english_description,chinese_description,license,notes,code,zh_name,en_name,module,source,production,uses,hazards,controls,cleanup,status,tests
DEFAULT_PT_NONE,NONE,Eraser,擦除工具,The-Powder-Toy/The-Powder-Toy,0,0,SC_SPECIAL,none,true,,official-locked,implemented,source-verified,false,NONE,src/simulation/elements/NONE.cpp,bff38ce6959e1c1a7a4d17d0d5d44d127a0dfcbd,Erases particles.,擦除粒子,GPL-3.0-only,,NONE,擦除工具,Eraser,official,The-Powder-Toy/The-Powder-Toy,upstream_managed_by_official_tpt,upstream_managed_by_official_tpt,upstream_managed_by_official_tpt,upstream_managed_by_official_tpt,upstream_managed_by_official_tpt,implemented,source-verified
DEFAULT_PT_DUST,DUST,Dust,尘埃,The-Powder-Toy/The-Powder-Toy,1,1,SC_POWDERS,powder,true,,official-locked,implemented,source-verified,false,DUST,src/simulation/elements/DUST.cpp,bff38ce6959e1c1a7a4d17d0d5d44d127a0dfcbd,Very light dust. Flammable.,"轻粉末,难燃且火焰微弱",GPL-3.0-only,,DUST,尘埃,Dust,official,The-Powder-Toy/The-Powder-Toy,upstream_managed_by_official_tpt,upstream_managed_by_official_tpt,upstream_managed_by_official_tpt,upstream_managed_by_official_tpt,upstream_managed_by_official_tpt,implemented,source-verified
DEFAULT_PT_WATR,WATR,Water,水,The-Powder-Toy/The-Powder-Toy,2,2,SC_LIQUID,liquid,true,,official-locked,implemented,source-verified,false,WATR,src/simulation/elements/WATR.cpp,bff38ce6959e1c1a7a4d17d0d5d44d127a0dfcbd,"Water. Conducts electricity, freezes, and extinguishes fires.","水,能导电",GPL-3.0-only,,WATR,水,Water,official,The-Powder-Toy/The-Powder-Toy,upstream_managed_by_official_tpt,upstream_managed_by_official_tpt,upstream_managed_by_official_tpt,upstream_managed_by_official_tpt,upstream_managed_by_official_tpt,implemented,source-verified
DEFAULT_PT_OIL,OIL,Oil,石油,The-Powder-Toy/The-Powder-Toy,3,3,SC_LIQUID,liquid,true,,official-locked,implemented,source-verified,false,OIL,src/simulation/elements/OIL.cpp,bff38ce6959e1c1a7a4d17d0d5d44d127a0dfcbd,"Flammable, turns into GAS at low pressure or high temperature.","石油,易燃,较低压力/加热下会变成石油气",GPL-3.0-only,,OIL,石油,Oil,official,The-Powder-Toy/The-Powder-Toy,upstream_managed_by_official_tpt,upstream_managed_by_official_tpt,upstream_managed_by_official_tpt,upstream_managed_by_official_tpt,upstream_managed_by_official_tpt,implemented,source-verified
DEFAULT_PT_FIRE,FIRE,Fire,火焰,The-Powder-Toy/The-Powder-Toy,4,4,SC_EXPLOSIVE,gas,true,,official-locked,implemented,source-verified,false,FIRE,src/simulation/elements/FIRE.cpp,bff38ce6959e1c1a7a4d17d0d5d44d127a0dfcbd,Ignites flammable materials. Heats air.,"火焰,用于点燃或加热",GPL-3.0-only,,FIRE,火焰,Fire,official,The-Powder-Toy/The-Powder-Toy,upstream_managed_by_official_tpt,upstream_managed_by_official_tpt,upstream_managed_by_official_tpt,upstream_managed_by_official_tpt,upstream_managed_by_official_tpt,implemented,source-verified
DEFAULT_PT_STNE,STNE,Stone,石粉,The-Powder-Toy/The-Powder-Toy,5,5,SC_POWDERS,powder,true,,official-locked,implemented,source-verified,false,STNE,src/simulation/elements/STNE.cpp,bff38ce6959e1c1a7a4d17d0d5d44d127a0dfcbd,"Stone. Heavy particles, meltable.","石粉,重粉末,熔化时变为LAVA",GPL-3.0-only,,STNE,石粉,Stone,official,The-Powder-Toy/The-Powder-Toy,upstream_managed_by_official_tpt,upstream_managed_by_official_tpt,upstream_managed_by_official_tpt,upstream_managed_by_official_tpt,upstream_managed_by_official_tpt,implemented,source-verified
DEFAULT_PT_LAVA,LAVA,Lava,熔岩,The-Powder-Toy/The-Powder-Toy,6,6,SC_LIQUID,liquid,true,,official-locked,implemented,source-verified,false,LAVA,src/simulation/elements/LAVA.cpp,bff38ce6959e1c1a7a4d17d0d5d44d127a0dfcbd,"Molten lava. Ignites flammable materials. Generated when metals and other materials melt, solidifies when cold.","岩浆,冷却后变成固体,所有熔融物都是一个样子,区别在于其Ctype",GPL-3.0-only,,LAVA,熔岩,Lava,official,The-Powder-Toy/The-Powder-Toy,upstream_managed_by_official_tpt,upstream_managed_by_official_tpt,upstream_managed_by_official_tpt,upstream_managed_by_official_tpt,upstream_managed_by_official_tpt,implemented,source-verified
DEFAULT_PT_GUNP,GUN,Gunpowder,黑火药,The-Powder-Toy/The-Powder-Toy,7,7,SC_EXPLOSIVE,powder,true,,official-locked,implemented,source-verified,false,GUNP,src/simulation/elements/GUNP.cpp,bff38ce6959e1c1a7a4d17d0d5d44d127a0dfcbd,"Gunpowder. Light dust, explodes on contact with fire or spark.","黑火药,可以被电脉冲和明火引爆",GPL-3.0-only,,GUN,黑火药,Gunpowder,official,The-Powder-Toy/The-Powder-Toy,upstream_managed_by_official_tpt,upstream_managed_by_official_tpt,upstream_managed_by_official_tpt,upstream_managed_by_official_tpt,upstream_managed_by_official_tpt,implemented,source-verified
DEFAULT_PT_NITR,NITR,Nitroglycerin,硝化甘油,The-Powder-Toy/The-Powder-Toy,8,8,SC_EXPLOSIVE,liquid,true,,official-locked,implemented,source-verified,false,NITR,src/simulation/elements/NITR.cpp,bff38ce6959e1c1a7a4d17d0d5d44d127a0dfcbd,Nitroglycerin. Pressure sensitive explosive. Mix with CLST to make TNT.,"硝化甘油,压力下,电脉冲,明火都可以引起爆炸",GPL-3.0-only,,NITR,硝化甘油,Nitroglycerin,official,The-Powder-Toy/The-Powder-Toy,upstream_managed_by_official_tpt,upstream_managed_by_official_tpt,upstream_managed_by_official_tpt,upstream_managed_by_official_tpt,upstream_managed_by_official_tpt,implemented,source-verified
DEFAULT_PT_CLNE,CLNE,Clone,复制体,The-Powder-Toy/The-Powder-Toy,9,9,SC_SPECIAL,solid,true,,official-locked,implemented,source-verified,false,CLNE,src/simulation/elements/CLNE.cpp,bff38ce6959e1c1a7a4d17d0d5d44d127a0dfcbd,Clone. Duplicates any particles it touches.,"复制体,复制碰到它的任何物体",GPL-3.0-only,,CLNE,复制体,Clone,official,The-Powder-Toy/The-Powder-Toy,upstream_managed_by_official_tpt,upstream_managed_by_official_tpt,upstream_managed_by_official_tpt,upstream_managed_by_official_tpt,upstream_managed_by_official_tpt,implemented,source-verified
DEFAULT_PT_GAS,GAS,Gas,石油气,The-Powder-Toy/The-Powder-Toy,10,10,SC_GAS,gas,true,,official-locked,implemented,source-verified,false,GAS,src/simulation/elements/GAS.cpp,bff38ce6959e1c1a7a4d17d0d5d44d127a0dfcbd,Diffuses quickly and is flammable. Liquefies into OIL under pressure.,"石油气,易燃,在压力下液化成油",GPL-3.0-only,,GAS,石油气,Gas,official,The-Powder-Toy/The-Powder-Toy,upstream_managed_by_official_tpt,upstream_managed_by_official_tpt,upstream_managed_by_official_tpt,upstream_managed_by_official_tpt,upstream_managed_by_official_tpt,implemented,source-verified
DEFAULT_PT_PLEX,C-4,C-4,C-4 塑胶炸药,The-Powder-Toy/The-Powder-Toy,11,11,SC_EXPLOSIVE,solid,true,,official-locked,implemented,source-verified,false,PLEX,src/simulation/elements/PLEX.cpp,bff38ce6959e1c1a7a4d17d0d5d44d127a0dfcbd,Solid pressure sensitive explosive.,"C-4塑胶炸弹,压力敏感型炸药,暴露在高压下,电脉冲或者达到爆炸点都可以引发爆炸",GPL-3.0-only,,C-4,C-4 塑胶炸药,C-4,official,The-Powder-Toy/The-Powder-Toy,upstream_managed_by_official_tpt,upstream_managed_by_official_tpt,upstream_managed_by_official_tpt,upstream_managed_by_official_tpt,upstream_managed_by_official_tpt,implemented,source-verified
DEFAULT_PT_GOO,GOO,Goo,黏胶,The-Powder-Toy/The-Powder-Toy,12,12,SC_SOLIDS,solid,true,,official-locked,implemented,source-verified,false,GOO,src/simulation/elements/GOO.cpp,bff38ce6959e1c1a7a4d17d0d5d44d127a0dfcbd,Deforms and disappears under pressure.,"粘土,在压力下会变形消失",GPL-3.0-only,,GOO,黏胶,Goo,official,The-Powder-Toy/The-Powder-Toy,upstream_managed_by_official_tpt,upstream_managed_by_official_tpt,upstream_managed_by_official_tpt,upstream_managed_by_official_tpt,upstream_managed_by_official_tpt,implemented,source-verified
DEFAULT_PT_ICEI,ICE,Ice,冰,The-Powder-Toy/The-Powder-Toy,13,13,SC_SOLIDS,solid,true,,official-locked,implemented,source-verified,false,ICEI,src/simulation/elements/ICEI.cpp,bff38ce6959e1c1a7a4d17d0d5d44d127a0dfcbd,Crushes under pressure. Cools down air.,"冰,在压力下会破碎变成雪",GPL-3.0-only,,ICE,冰,Ice,official,The-Powder-Toy/The-Powder-Toy,upstream_managed_by_official_tpt,upstream_managed_by_official_tpt,upstream_managed_by_official_tpt,upstream_managed_by_official_tpt,upstream_managed_by_official_tpt,implemented,source-verified
DEFAULT_PT_METL,METL,Metal,金属,The-Powder-Toy/The-Powder-Toy,14,14,SC_ELEC,solid,true,,official-locked,implemented,source-verified,false,METL,src/simulation/elements/METL.cpp,bff38ce6959e1c1a7a4d17d0d5d44d127a0dfcbd,"Metal, the basic conductor. Meltable.","金属,最基础的导体,可以熔化",GPL-3.0-only,,METL,金属,Metal,official,The-Powder-Toy/The-Powder-Toy,upstream_managed_by_official_tpt,upstream_managed_by_official_tpt,upstream_managed_by_official_tpt,upstream_managed_by_official_tpt,upstream_managed_by_official_tpt,implemented,source-verified
DEFAULT_PT_SPRK,SPRK,Spark,电火花,The-Powder-Toy/The-Powder-Toy,15,15,SC_ELEC,solid,true,,official-locked,implemented,source-verified,false,SPRK,src/simulation/elements/SPRK.cpp,bff38ce6959e1c1a7a4d17d0d5d44d127a0dfcbd,"Electricity. The basis of all electronics in TPT, travels along conductive elements.","电脉冲,所有电子设备的基础,电脉冲不能单独放置(并不是一个真实的粒子)你需要将其放在导体上",GPL-3.0-only,,SPRK,电火花,Spark,official,The-Powder-Toy/The-Powder-Toy,upstream_managed_by_official_tpt,upstream_managed_by_official_tpt,upstream_managed_by_official_tpt,upstream_managed_by_official_tpt,upstream_managed_by_official_tpt,implemented,source-verified
DEFAULT_PT_SNOW,SNOW,Snow,雪,The-Powder-Toy/The-Powder-Toy,16,16,SC_POWDERS,powder,true,,official-locked,implemented,source-verified,false,SNOW,src/simulation/elements/SNOW.cpp,bff38ce6959e1c1a7a4d17d0d5d44d127a0dfcbd,Light particles. Created when ICE breaks under pressure.,"雪,轻粉末,ICE在压力下破坏形成雪加热后变成WATR",GPL-3.0-only,,SNOW,雪,Snow,official,The-Powder-Toy/The-Powder-Toy,upstream_managed_by_official_tpt,upstream_managed_by_official_tpt,upstream_managed_by_official_tpt,upstream_managed_by_official_tpt,upstream_managed_by_official_tpt,implemented,source-verified
DEFAULT_PT_WOOD,WOOD,Wood,木材,The-Powder-Toy/The-Powder-Toy,17,17,SC_SOLIDS,solid,true,,official-locked,implemented,source-verified,false,WOOD,src/simulation/elements/WOOD.cpp,bff38ce6959e1c1a7a4d17d0d5d44d127a0dfcbd,"Wood, flammable.","木头,可燃物允许NEUT通过",GPL-3.0-only,,WOOD,木材,Wood,official,The-Powder-Toy/The-Powder-Toy,upstream_managed_by_official_tpt,upstream_managed_by_official_tpt,upstream_managed_by_official_tpt,upstream_managed_by_official_tpt,upstream_managed_by_official_tpt,implemented,source-verified
DEFAULT_PT_NEUT,NEUT,Neutron,中子,The-Powder-Toy/The-Powder-Toy,18,18,SC_NUCLEAR,energy,true,,official-locked,implemented,source-verified,false,NEUT,src/simulation/elements/NEUT.cpp,bff38ce6959e1c1a7a4d17d0d5d44d127a0dfcbd,Neutrons. Interact with matter in odd ways.,"中子,不受重力影响的粒子,可以随意移动",GPL-3.0-only,,NEUT,中子,Neutron,official,The-Powder-Toy/The-Powder-Toy,upstream_managed_by_official_tpt,upstream_managed_by_official_tpt,upstream_managed_by_official_tpt,upstream_managed_by_official_tpt,upstream_managed_by_official_tpt,implemented,source-verified
DEFAULT_PT_PLUT,PLUT,Plutonium,钚,The-Powder-Toy/The-Powder-Toy,19,19,SC_NUCLEAR,powder,true,,official-locked,implemented,source-verified,false,PLUT,src/simulation/elements/PLUT.cpp,bff38ce6959e1c1a7a4d17d0d5d44d127a0dfcbd,"Plutonium. Heavy, fissile particles. Generates neutrons under pressure.","钚,易裂变,在高压下,被闪电击中或大量的中子轰击时更不稳定",GPL-3.0-only,,PLUT,钚,Plutonium,official,The-Powder-Toy/The-Powder-Toy,upstream_managed_by_official_tpt,upstream_managed_by_official_tpt,upstream_managed_by_official_tpt,upstream_managed_by_official_tpt,upstream_managed_by_official_tpt,implemented,source-verified
DEFAULT_PT_PLNT,PLNT,Plant,植物,The-Powder-Toy/The-Powder-Toy,20,20,SC_SOLIDS,solid,true,,official-locked,implemented,source-verified,false,PLNT,src/simulation/elements/PLNT.cpp,bff38ce6959e1c1a7a4d17d0d5d44d127a0dfcbd,"Plant, drinks water and grows.","植物,吸收水分生长,低温时变成蓝色",GPL-3.0-only,,PLNT,植物,Plant,official,The-Powder-Toy/The-Powder-Toy,upstream_managed_by_official_tpt,upstream_managed_by_official_tpt,upstream_managed_by_official_tpt,upstream_managed_by_official_tpt,upstream_managed_by_official_tpt,implemented,source-verified
DEFAULT_PT_ACID,ACID,Acid,酸液,The-Powder-Toy/The-Powder-Toy,21,21,SC_LIQUID,liquid,true,,official-locked,implemented,source-verified,false,ACID,src/simulation/elements/ACID.cpp,bff38ce6959e1c1a7a4d17d0d5d44d127a0dfcbd,Dissolves almost everything.,"酸,可以腐蚀几乎所有物质",GPL-3.0-only,,ACID,酸液,Acid,official,The-Powder-Toy/The-Powder-Toy,upstream_managed_by_official_tpt,upstream_managed_by_official_tpt,upstream_managed_by_official_tpt,upstream_managed_by_official_tpt,upstream_managed_by_official_tpt,implemented,source-verified
DEFAULT_PT_VOID,VOID,Void,虚空,The-Powder-Toy/The-Powder-Toy,22,22,SC_SPECIAL,solid,true,,official-locked,implemented,source-verified,false,VOID,src/simulation/elements/VOID.cpp,bff38ce6959e1c1a7a4d17d0d5d44d127a0dfcbd,"Hole, will drain away any particles.","虚空,可以吸收物质(除固体即使被活塞推入)并产生少量压力",GPL-3.0-only,,VOID,虚空,Void,official,The-Powder-Toy/The-Powder-Toy,upstream_managed_by_official_tpt,upstream_managed_by_official_tpt,upstream_managed_by_official_tpt,upstream_managed_by_official_tpt,upstream_managed_by_official_tpt,implemented,source-verified
DEFAULT_PT_WTRV,WTRV,Water Vapor,水蒸气,The-Powder-Toy/The-Powder-Toy,23,23,SC_GAS,gas,true,,official-locked,implemented,source-verified,false,WTRV,src/simulation/elements/WTRV.cpp,bff38ce6959e1c1a7a4d17d0d5d44d127a0dfcbd,Steam. Produced from hot water.,"水蒸气,水加热到100℃以上或者盐水加热到109.86℃以上时产生",GPL-3.0-only,,WTRV,水蒸气,Water Vapor,official,The-Powder-Toy/The-Powder-Toy,upstream_managed_by_official_tpt,upstream_managed_by_official_tpt,upstream_managed_by_official_tpt,upstream_managed_by_official_tpt,upstream_managed_by_official_tpt,implemented,source-verified
DEFAULT_PT_CNCT,CNCT,Concrete,混凝土,The-Powder-Toy/The-Powder-Toy,24,24,SC_POWDERS,powder,true,,official-locked,implemented,source-verified,false,CNCT,src/simulation/elements/CNCT.cpp,bff38ce6959e1c1a7a4d17d0d5d44d127a0dfcbd,"Concrete. Can stack on itself or ROCK, collapses with pressure.","混凝土,重粉末,比石粉坚固且更难熔化",GPL-3.0-only,,CNCT,混凝土,Concrete,official,The-Powder-Toy/The-Powder-Toy,upstream_managed_by_official_tpt,upstream_managed_by_official_tpt,upstream_managed_by_official_tpt,upstream_managed_by_official_tpt,upstream_managed_by_official_tpt,implemented,source-verified
DEFAULT_PT_DSTW,DSTW,Distilled Water,蒸馏水,The-Powder-Toy/The-Powder-Toy,25,25,SC_LIQUID,liquid,true,,official-locked,implemented,source-verified,false,DSTW,src/simulation/elements/DSTW.cpp,bff38ce6959e1c1a7a4d17d0d5d44d127a0dfcbd,"Distilled water, does not conduct electricity.","蒸馏水,不导电的理论纯水",GPL-3.0-only,,DSTW,蒸馏水,Distilled Water,official,The-Powder-Toy/The-Powder-Toy,upstream_managed_by_official_tpt,upstream_managed_by_official_tpt,upstream_managed_by_official_tpt,upstream_managed_by_official_tpt,upstream_managed_by_official_tpt,implemented,source-verified
